City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
82,akjoujt,90.66,26,98,12.06,1727848929,MR,-14.4164,19.6969
83,atafu village,81.77,71,78,3.58,1727848929,TK,-172.5159,-8.5421
84,prince albert,42.75,81,20,5.75,1727848794,CA,-105.7677,53.2001
85,bilibino,35.02,95,100,5.88,1727848929,RU,166.4372,68.0546
86,parabel',44.96,58,15,16.28,1727848930,RU,81.4825,58.6978
87,puerto deseado,36.37,63,62,11.48,1727848930,AR,-65.8938,-47.7503
88,tottori,66.27,94,75,19.57,1727848895,JP,134.2333,35.5
89,recani,77.85,40,49,5.14,1727848930,MA,-4.2688,31.2846
90,gunjur,78.87,94,40,4.61,1727848930,GM,-16.7339,13.2019
91,kaa-khem,57.69,42,41,2.08,1727848930,RU,94.7333,51.6833
92,ribeira grande,75.78,96,100,11.99,1727848930,PT,-28.7,38.5167
93,port lincoln,62.85,66,0,16.33,1727848930,AU,135.8667,-34.7333
94,geraldton,59.41,67,75,18.41,1727848930,AU,114.6,-28.7667
95,kasempa,79.36,24,62,13.69,1727848930,ZM,25.8338,-13.4584
96,soustons,59.56,99,100,3.83,1727848931,FR,-1.3278,43.7533
97,barro alto,63.84,84,42,6.24,1727848931,BR,-41.9117,-11.7608
98,albany,56.77,70,100,3.0,1727848722,US,-73.9662,42.6001
99,malabar,65.21,65,40,16.11,1727848931,AU,151.25,-33.9667
100,tura,85.32,74,100,1.07,1727848931,IN,90.2201,25.5198
101,daru,80.78,78,86,17.81,1727848931,PG,143.2092,-9.0763
102,wakkanai,58.98,88,75,23.02,1727848931,JP,141.6739,45.4094
103,weno,84.15,79,100,4.61,1727848931,FM,151.8468,7.4515
104,anupgarh,102.87,19,0,19.19,1727848931,IN,73.2086,29.1911
105,georgetown,87.75,70,20,10.36,1727848817,MY,100.3354,5.4112
106,vila velha,69.94,94,20,3.44,1727848640,BR,-40.2925,-20.3297
107,suva,80.08,83,40,5.75,1727848932,FJ,178.4415,-18.1416
108,benjamin constant,75.33,70,86,1.59,1727848932,BR,-70.0311,-4.3831
109,salekhard,40.84,79,96,15.64,1727848665,RU,66.6019,66.53
110,kodinsk,45.55,58,95,11.48,1727848932,RU,99.1844,58.6881
111,punta cana,80.37,78,20,4.61,1727848923,DO,-68.4043,18.5818
112,ceeldheer,81.86,65,64,14.65,1727848932,SO,47.1806,3.8488
113,taroa,84.61,72,51,7.65,1727848932,MH,171.2275,8.7058
114,pacocha,60.6,87,84,3.71,1727848932,PE,-71.3333,-17.5833
115,ghazni,71.38,15,0,10.38,1727848933,AF,68.4269,33.5536
116,fortuna,50.92,93,0,0.0,1727848933,US,-124.1573,40.5982
117,al jawf,70.54,56,0,7.38,1727848933,SA,38.75,29.5
118,arkhangel'sk,37.51,87,40,6.71,1727848933,RU,40.5433,64.5401
119,pokhara,79.07,74,23,5.7,1727848933,NP,83.9833,28.2333
120,nemuro,66.56,80,23,15.3,1727848933,JP,145.575,43.3236
121,beledweyne,83.26,54,84,13.47,1727848933,SO,45.2036,4.7358
122,puerto colombia,77.09,74,11,6.04,1727848934,CO,-74.9547,10.9878
123,weyburn,50.22,66,100,1.14,1727848934,CA,-103.8511,49.6668
124,la passe,54.54,85,100,5.41,1727848934,FR,-0.8967,45.5549
125,khandyga,36.27,75,99,3.74,1727848934,RU,135.6,62.6667
126,west island,82.38,69,76,18.41,1727848934,CC,96.8225,-12.1568
127,emporia,53.6,36,2,4.32,1727848934,US,-96.1817,38.4039
128,susuman,29.7,70,69,3.65,1727848934,RU,148.1667,62.7833
129,tongchuanshi,64.4,33,0,6.26,1727848934,CN,109.0897,35.0806
130,mabaruma,75.79,92,4,0.92,1727848934,GY,-59.7833,8.2
131,chibougamau,49.62,93,100,6.91,1727848927,CA,-74.3659,49.9168
132,mooirivier,47.07,66,4,3.67,1727848935,ZA,29.9946,-29.2082
133,inverell,73.11,39,100,5.99,1727848935,AU,151.1167,-29.7833
134,qamdo,63.61,33,40,5.64,1727848935,CN,97.2333,31.1667
135,bredasdorp,54.21,68,98,6.78,1727848935,ZA,20.0403,-34.5322
136,islamkot,96.39,32,0,13.71,1727848935,PK,70.177,24.6997
137,maxixe,71.92,49,67,14.5,1727848935,MZ,35.3472,-23.8597
138,viedma,42.42,52,34,11.45,1727848935,AR,-62.9967,-40.8135
139,sao felix do xingu,71.65,86,69,2.24,1727848935,BR,-51.995,-6.6447
140,vilhena,73.31,70,10,3.76,1727848936,BR,-60.1458,-12.7406
141,tongliao,61.09,30,0,10.94,1727848936,CN,122.2653,43.6125
142,new norfolk,57.7,37,0,5.21,1727848936,AU,147.0587,-42.7826
143,iqaluit,41.7,81,0,13.8,1727848936,CA,-68.5145,63.7506
144,phan rang-thap cham,90.14,58,94,8.95,1727848936,VN,108.9833,11.5667
145,adrar,87.49,24,100,11.83,1727848936,MR,-10.0711,20.5022
146,rawlins,60.69,13,0,17.27,1727848936,US,-107.2387,41.7911
147,coquimbo,52.99,79,0,3.44,1727848705,CL,-71.3436,-29.9533
148,tofol,82.18,83,100,2.3,1727848936,FM,163.0078,5.3248
149,yellowknife,34.32,95,75,17.27,1727848937,CA,-114.3525,62.456
150,murghob,46.2,15,0,11.59,1727848937,TJ,73.9667,38.1702
151,chulakkurgan,72.57,23,42,1.97,1727848937,KZ,69.1814,43.765
152,mejit,84.09,76,63,14.27,1727848937,MH,170.8646,10.2753
153,kostyantynivka,63.27,25,35,12.41,1727848937,UA,37.7069,48.5277
154,tiksi,22.1,81,15,0.89,1727848937,RU,128.8694,71.6872
155,namibe,62.74,86,73,3.98,1727848937,AO,12.1522,-15.1961
156,masterton,59.09,67,100,5.88,1727848937,NZ,175.6575,-40.9597
157,tralee,35.85,100,0,1.14,1727848938,IE,-9.7026,52.2704
158,lerwick,49.42,83,92,4.09,1727848938,GB,-1.1494,60.1545
159,katabu,83.68,70,62,9.93,1727848938,ID,122.5167,-4.9333
160,alachua,74.16,90,72,3.56,1727848869,US,-82.3332,29.7086
161,calamar,75.22,88,0,5.28,1727848938,CO,-74.9146,10.2511
162,freetown,76.71,83,100,10.36,1727848938,SL,-13.2299,8.484
163,taoudenni,95.52,19,100,5.86,1727848938,ML,-3.9836,22.6783
164,guerrero negro,66.99,88,2,8.21,1727848938,MX,-114.0611,27.9769
165,mission,75.18,78,0,4.88,1727848810,US,-98.3253,26.2159
166,avarua,69.85,68,20,8.05,1727848939,CK,-159.775,-21.2078
167,invercargill,48.02,91,100,8.99,1727848939,NZ,168.35,-46.4
168,margaret river,53.01,82,96,27.18,1727848939,AU,115.0667,-33.95
169,malango,75.87,86,55,2.48,1727848939,ID,119.9001,-2.9627
170,sathankulam,87.96,59,100,15.03,1727848939,IN,77.9135,8.4416
171,longyearbyen,28.24,86,75,5.75,1727848939,SJ,15.6401,78.2186
172,cidreira,66.43,98,100,6.42,1727848939,BR,-50.2056,-30.1811
173,mugia,67.91,99,100,14.32,1727848939,ES,-9.2179,43.1041
174,hami,67.95,15,0,1.59,1727848939,CN,93.45,42.8
175,chaumont,49.37,95,51,11.23,1727848940,FR,5.1333,48.1167
176,kathu,86.7,83,100,6.98,1727848940,TH,98.3332,7.9178
177,sitka,47.8,87,99,3.98,1727848940,US,-135.33,57.0531
178,kangding,55.22,96,99,3.69,1727848940,CN,101.9603,30.0513
179,garoowe,80.69,54,23,9.13,1727848940,SO,48.4845,8.4054
180,chiredzi,62.85,54,100,12.84,1727848940,ZW,31.6667,-21.05
181,whitehorse,36.28,95,100,3.44,1727848802,CA,-135.0538,60.7161
182,berdigestyakh,37.8,98,100,8.75,1727848940,RU,126.6992,62.0989
183,caleta de carquin,63.03,92,91,8.37,1727848940,PE,-77.6267,-11.0925
184,morant bay,80.29,85,70,4.9,1727848941,JM,-76.4093,17.8815
185,gadzhiyevo,41.04,77,83,28.74,1727848936,RU,33.3362,69.2551
186,champerico,78.3,77,100,6.55,1727848941,GT,-91.9167,14.3
187,hithadhoo,84.11,72,15,12.08,1727848941,MV,73.0833,-0.6
188,acapulco de juarez,72.73,89,100,2.82,1727848691,MX,-99.8901,16.8634
189,coahuayana de hidalgo,78.53,94,100,1.83,1727848941,MX,-103.6583,18.7
190,lihue,75.74,89,21,9.55,1727848941,US,-159.3672,21.9789
